audio,blackFrames,distribution
-102.241909,0.0,0.0
-54.138285,0.0,0.0
-25.469046,0.0,0.0
-19.771050,0.0,0.0
-22.112671,0.0,0.0
-22.681196,0.0,0.0
-22.849064,0.0,0.0
-23.545494,0.0,0.0
-22.360085,0.0,0.0
-22.436814,0.0,0.0
-22.778582,0.0,0.0
-23.697298,0.0,0.0
-23.186739,0.0,0.0
-24.236790,0.0,0.0
-23.547179,0.0,0.0
-23.936784,0.0,0.0
-24.652211,0.0,0.0
-25.071827,0.0,0.0
-24.326701,0.0,0.0
-25.606611,0.0,0.0
-24.860470,0.0,0.0
-24.526795,0.0,0.0
-25.634476,0.0,0.0
-23.390100,0.0,0.0
-24.466144,0.0,0.0
-28.892554,0.0,0.0
-27.026464,0.0,0.0
-27.612476,0.0,0.0
-28.242984,0.0,0.0
-28.859464,0.0,0.0
-27.481263,0.0,0.0
-26.247907,0.0,0.0
-28.697223,0.0,0.0
-29.051286,0.0,0.0
-25.859438,0.0,0.0
-29.182858,0.0,0.0
-30.568728,0.0,0.0
-28.797683,0.0,0.0
-27.852474,0.0,0.0
-24.443848,0.0,0.0
-27.538528,0.0,0.0
-29.901994,0.0,0.0
-27.004600,0.0,0.0
-27.758042,0.0,0.0
-22.543248,0.0,0.0
-17.642947,0.0,0.0
-20.525839,0.0,0.0
-22.607509,0.0,0.0
-25.919898,0.0,0.0
-24.631546,0.0,0.0
-27.117658,0.0,0.0
-25.492877,0.0,0.0
-19.426362,0.0,0.0
-19.564108,0.0,0.0
-22.710221,0.0,0.0
-24.654474,0.0,0.0
-24.869601,0.0,0.0
-25.972655,0.0,0.0
-28.061461,0.0,0.0
-26.807266,0.0,0.0
-24.205704,0.0,0.0
-27.983068,0.0,0.0
-29.486296,0.0,0.0
-28.771619,0.0,0.0
-26.379412,0.0,0.0
-27.526881,0.0,0.0
-28.588918,0.0,0.0
-27.582247,0.0,0.0
-29.298290,0.0,0.0
-29.132102,0.0,0.0
-27.477489,0.0,0.0
-31.001765,0.0,0.0
-31.606436,0.0,0.0
-27.894468,0.0,0.0
-20.482722,0.0,0.0
-20.535357,0.0,0.0
-22.911950,0.0,0.0
-28.454262,0.0,0.0
-23.124278,0.0,0.0
-21.035852,0.0,0.0
-21.475157,0.0,0.0
-25.085940,0.0,0.0
-29.207856,0.0,0.0
-29.260948,0.0,0.0
-30.992587,0.0,0.0
-28.525846,0.0,0.0
-27.829077,0.0,0.0
-23.872216,0.0,0.0
-19.816711,0.0,0.0
-29.372606,0.0,0.0
-27.960272,0.0,0.0
-25.876459,0.0,0.0
-26.587147,0.0,0.0
-26.203829,0.0,0.0
-26.739431,0.0,0.0
-30.259717,0.0,0.0
-21.029796,0.0,0.0
-19.726055,0.0,0.0
